Run Misses Invs SelfInvs
fft_dsi_f16_v4_c2M 10197 1341 4
fft_dsi_f4_v4_c2M 10209 1342 20
fft_dsi_f8_v2_c2M 10197 1339 11
fft_dsi_f8_v4_c2M 10197 1338 9
fft_dsi_f8_v4_c512K 10217 1339 298
fft_dsi_f8_v4_c8M 10197 1338 9
fft_dsi_f8_v6_c2M 10197 1338 9
fft_NOdsi 10192 1342 0
lu_dsi_f16_v4_c2M 8788 1112 36
lu_dsi_f4_v4_c2M 8812 1112 59
lu_dsi_f8_v2_c2M 8807 1111 53
lu_dsi_f8_v4_c2M 8808 1111 54
lu_dsi_f8_v4_c512K 8807 1111 78
lu_dsi_f8_v4_c8M 8808 1111 54
lu_dsi_f8_v6_c2M 8808 1111 54
lu_NOdsi 8754 1112 0
ocean_dsi 49189 0 4774
ocean_dsi_f16_v4_c2M 49548 15368 5740
ocean_dsi_f4_v4_c2M 49186 14742 5923
ocean_dsi_f8_v2_c2M 49189 15823 4774
ocean_dsi_f8_v4_c2M 49376 15779 5030
ocean_dsi_f8_v4_c512K 64713 15516 27150
ocean_dsi_f8_v4_c8M 49376 15779 5030
ocean_dsi_f8_v6_c2M 49376 15779 5030
ocean_NOdsi 46547 17903 0
radix_dsi_f16_v4_c2M 57999 348 1089
radix_dsi_f4_v4_c2M 58015 344 1112
radix_dsi_f8_v2_c2M 58011 348 1102
radix_dsi_f8_v4_c2M 58006 346 1099
radix_dsi_f8_v4_c512K 106232 220 89214
radix_dsi_f8_v4_c8M 57936 353 30
radix_dsi_f8_v6_c2M 58006 346 1099
radix_NOdsi 57989 349 1075
raytrace_dsi_f16_v4_c2M 38491 0 5723
raytrace_dsi_f4_v4_c2M 38491 0 5723
raytrace_dsi_f8_v2_c2M 38491 0 5723
raytrace_dsi_f8_v4_c2M 38491 0 5723
raytrace_dsi_f8_v4_c512K 38497 0 30305
raytrace_dsi_f8_v4_c8M 38490 0 0
raytrace_dsi_f8_v6_c2M 38491 0 5723
raytrace_NOdsi 38491 0 5723
